,Timestamp,Motion_detection
87,2024-10-18 13:30:58,0
88,2024-10-18 13:44:20,1
89,2024-10-18 13:46:41,0
90,2024-10-18 14:38:03,1
91,2024-10-18 14:39:15,0
92,2024-10-18 16:09:38,1
93,2024-10-18 16:10:50,0
94,2024-10-18 16:11:12,1
95,2024-10-18 16:12:24,0
96,2024-10-18 16:12:33,1
97,2024-10-18 16:14:54,0
98,2024-10-18 16:15:05,1
99,2024-10-18 16:16:18,0
100,2024-10-18 18:51:00,1
101,2024-10-18 18:52:30,0
102,2024-10-18 18:55:26,1
103,2024-10-18 18:56:55,0
104,2024-10-18 19:04:53,1
105,2024-10-18 19:07:49,0
106,2024-10-18 19:09:05,1
107,2024-10-18 19:10:19,0
108,2024-10-19 08:34:38,1
109,2024-10-19 08:35:51,0
110,2024-10-19 08:36:05,1
111,2024-10-19 08:37:52,0
112,2024-10-19 08:37:57,1
113,2024-10-19 08:39:09,0
114,2024-10-19 09:36:08,1
115,2024-10-19 09:37:20,0
116,2024-10-19 10:38:52,1
117,2024-10-19 10:40:21,0
118,2024-10-19 10:40:28,1
119,2024-10-19 10:41:41,0
120,2024-10-19 10:41:45,1
121,2024-10-19 10:42:58,0
122,2024-10-19 10:43:03,1
123,2024-10-19 10:44:17,0
124,2024-10-19 10:44:23,1
125,2024-10-19 10:45:35,0
126,2024-10-19 10:45:42,1
127,2024-10-19 10:46:57,0
128,2024-10-19 10:47:02,1
129,2024-10-19 10:48:32,0
130,2024-10-19 10:48:39,1
131,2024-10-19 10:49:51,0
132,2024-10-19 10:49:58,1
133,2024-10-19 10:51:27,0
134,2024-10-19 10:51:33,1
135,2024-10-19 10:52:45,0
136,2024-10-19 10:52:51,1
137,2024-10-19 10:55:13,0
138,2024-10-19 11:23:50,1
139,2024-10-19 11:25:03,0
140,2024-10-19 11:25:27,1
141,2024-10-19 11:26:39,0
142,2024-10-19 11:26:44,1
143,2024-10-19 11:29:40,0
144,2024-10-19 11:29:45,1
145,2024-10-19 11:32:43,0
146,2024-10-19 11:32:49,1
147,2024-10-19 11:34:02,0
148,2024-10-19 11:34:18,1
149,2024-10-19 11:36:39,0
150,2024-10-19 11:36:44,1
151,2024-10-19 11:41:23,0
152,2024-10-19 12:02:27,1
153,2024-10-19 12:04:32,0
154,2024-10-19 12:04:36,1
155,2024-10-19 12:05:48,0
156,2024-10-19 12:05:57,1
157,2024-10-19 12:11:43,0
158,2024-10-19 12:11:50,1
159,2024-10-19 12:15:37,0
160,2024-10-19 12:29:17,1
161,2024-10-19 12:30:30,0
162,2024-10-19 12:33:49,1
163,2024-10-19 12:35:02,0
164,2024-10-19 12:36:39,1
165,2024-10-19 12:41:00,0
166,2024-10-19 12:49:25,1
167,2024-10-19 12:52:37,0
168,2024-10-19 12:52:53,1
169,2024-10-19 12:54:06,0
170,2024-10-19 13:34:28,1
171,2024-10-19 13:35:40,0
172,2024-10-19 13:39:49,1
173,2024-10-19 13:41:01,0
174,2024-10-19 13:41:09,1
175,2024-10-19 13:42:22,0
176,2024-10-19 13:46:06,1
177,2024-10-19 13:48:09,0
178,2024-10-19 13:54:32,1
179,2024-10-19 13:58:35,0
180,2024-10-19 14:00:05,1
181,2024-10-19 14:01:17,0
182,2024-10-19 14:08:15,1
183,2024-10-19 14:09:27,0
184,2024-10-19 14:32:55,1
185,2024-10-19 14:34:07,0
186,2024-10-19 14:51:36,1
187,2024-10-19 14:53:06,0
188,2024-10-19 15:06:05,1
189,2024-10-19 15:07:19,0
190,2024-10-19 15:19:15,1
191,2024-10-19 15:20:28,0
192,2024-10-19 21:47:22,1
193,2024-10-19 21:48:36,0
194,2024-10-20 13:12:09,1
195,2024-10-20 13:13:21,0
196,2024-10-20 13:39:19,1
197,2024-10-20 13:40:31,0
198,2024-10-20 14:51:02,1
199,2024-10-20 14:52:15,0
200,2024-10-20 19:48:23,1
201,2024-10-20 19:49:36,0
202,2024-10-20 19:57:09,1
203,2024-10-20 19:58:22,0
204,2024-10-20 21:28:18,1
205,2024-10-20 21:29:33,0
206,2024-10-21 08:50:33,1
207,2024-10-21 08:51:46,0
208,2024-10-21 09:28:48,1
209,2024-10-21 09:30:01,0
210,2024-10-21 19:21:52,1
211,2024-10-21 19:23:05,0
212,2024-10-21 19:40:38,1
213,2024-10-21 19:42:08,0
214,2024-10-21 19:59:51,1
215,2024-10-21 20:01:03,0
216,2024-10-21 20:58:36,1
217,2024-10-21 21:00:07,0
218,2024-10-22 08:55:27,1
219,2024-10-22 08:56:41,0
220,2024-10-22 08:58:09,1
221,2024-10-22 08:59:21,0
222,2024-10-22 09:59:05,1
223,2024-10-22 10:01:09,0
224,2024-10-22 10:11:02,1
225,2024-10-22 10:12:15,0
226,2024-10-22 10:41:05,1
227,2024-10-22 10:42:17,0
228,2024-10-22 10:51:39,1
229,2024-10-22 10:54:00,0
230,2024-10-22 11:03:22,1
231,2024-10-22 11:04:35,0
232,2024-10-22 12:59:36,1
233,2024-10-22 13:00:50,0
234,2024-10-22 13:00:58,1
235,2024-10-22 13:02:11,0
236,2024-10-22 15:39:53,1
237,2024-10-22 15:41:06,0
238,2024-10-22 15:41:56,1
239,2024-10-22 15:43:43,0
240,2024-10-22 16:48:31,1
241,2024-10-22 16:50:52,0
242,2024-10-22 18:19:49,1
243,2024-10-22 18:21:01,0
244,2024-10-22 19:42:32,1
245,2024-10-22 19:43:45,0
246,2024-10-22 20:56:39,1
247,2024-10-22 20:57:53,0
248,2024-10-23 08:14:37,1
249,2024-10-23 08:16:07,0
250,2024-10-23 08:30:42,1
251,2024-10-23 08:34:12,0
252,2024-10-23 08:40:08,1
253,2024-10-23 08:41:37,0
254,2024-10-23 08:45:23,1
255,2024-10-23 08:49:44,0
256,2024-10-23 08:51:13,1
257,2024-10-23 08:53:00,0
258,2024-10-23 09:07:22,1
259,2024-10-23 09:08:34,0
260,2024-10-23 09:09:24,1
261,2024-10-23 09:10:36,0
262,2024-10-23 09:12:17,1
263,2024-10-23 09:13:30,0
264,2024-10-23 09:14:45,1
265,2024-10-23 09:15:57,0
266,2024-10-23 09:22:40,1
267,2024-10-23 09:23:52,0
268,2024-10-23 09:30:22,1
269,2024-10-23 09:31:51,0
270,2024-10-23 09:35:32,1
271,2024-10-23 09:37:02,0
272,2024-10-23 09:44:27,1
273,2024-10-23 09:45:39,0
274,2024-10-23 10:06:14,1
275,2024-10-23 10:08:18,0
276,2024-10-23 10:09:31,1
277,2024-10-23 10:11:52,0
278,2024-10-23 10:11:58,1
279,2024-10-23 10:15:28,0
280,2024-10-23 10:16:52,1
281,2024-10-23 10:18:05,0
282,2024-10-23 10:18:14,1
283,2024-10-23 10:19:44,0
284,2024-10-23 10:20:48,1
285,2024-10-23 10:24:34,0
286,2024-10-23 10:27:40,1
287,2024-10-23 10:28:53,0
288,2024-10-23 10:46:41,1
289,2024-10-23 10:47:53,0
290,2024-10-23 10:55:19,1
291,2024-10-23 10:56:31,0
292,2024-10-23 11:00:16,1
293,2024-10-23 11:01:29,0
294,2024-10-23 11:02:14,1
295,2024-10-23 11:04:18,0
296,2024-10-23 11:05:06,1
297,2024-10-23 11:06:19,0
298,2024-10-23 11:07:33,1
299,2024-10-23 11:08:45,0
300,2024-10-23 11:08:54,1
301,2024-10-23 11:10:07,0
302,2024-10-23 12:06:29,1
303,2024-10-23 12:07:41,0
304,2024-10-23 12:23:14,1
305,2024-10-23 12:24:26,0
306,2024-10-23 12:43:10,1
307,2024-10-23 12:44:23,0
308,2024-10-23 12:48:17,1
309,2024-10-23 12:49:29,0
310,2024-10-23 12:55:46,1
311,2024-10-23 12:57:32,0
312,2024-10-23 12:57:40,1
313,2024-10-23 12:58:52,0
314,2024-10-23 12:59:08,1
315,2024-10-23 13:00:21,0
316,2024-10-23 13:26:29,1
317,2024-10-23 13:27:58,0
318,2024-10-23 13:30:47,1
319,2024-10-23 13:32:00,0
320,2024-10-23 13:32:46,1
321,2024-10-23 13:33:58,0
322,2024-10-23 13:35:17,1
323,2024-10-23 13:37:21,0
324,2024-10-23 13:38:04,1
325,2024-10-23 13:39:16,0
326,2024-10-23 13:39:29,1
327,2024-10-23 13:40:41,0
328,2024-10-23 13:41:43,1
329,2024-10-23 13:42:56,0
330,2024-10-23 13:44:05,1
331,2024-10-23 13:46:44,0
332,2024-10-23 14:21:29,1
333,2024-10-23 14:22:42,0
334,2024-10-23 14:24:10,1
335,2024-10-23 14:25:22,0
336,2024-10-23 14:31:52,1
337,2024-10-23 14:33:04,0
338,2024-10-23 14:33:18,1
339,2024-10-23 14:35:05,0
340,2024-10-23 14:35:13,1
341,2024-10-23 14:36:42,0
342,2024-10-23 14:36:51,1
343,2024-10-23 14:38:24,0
344,2024-10-23 15:04:37,1
345,2024-10-23 15:06:58,0
346,2024-10-23 18:33:03,1
347,2024-10-23 18:36:49,0
348,2024-10-23 18:36:55,1
349,2024-10-23 18:38:08,0
350,2024-10-23 18:38:13,1
351,2024-10-23 18:40:17,0
352,2024-10-23 18:40:29,1
353,2024-10-23 18:42:15,0
354,2024-10-23 18:42:20,1
355,2024-10-23 18:43:32,0
356,2024-10-23 18:43:37,1
357,2024-10-23 18:44:50,0
358,2024-10-23 18:45:04,1
359,2024-10-23 18:46:16,0
