,timestamp,car_no,truck_no,bus_no,motorcycle_no
5329,2024-11-02 02:32:12,1,0,0,0
5330,2024-11-02 02:32:30,1,0,0,0
5331,2024-11-02 02:33:11,1,0,0,0
5332,2024-11-02 02:33:24,1,0,0,0
5333,2024-11-02 02:39:19,1,0,0,0
5334,2024-11-02 02:40:08,1,0,0,0
5335,2024-11-02 02:43:02,1,0,0,0
5336,2024-11-02 02:43:15,1,0,0,0
5337,2024-11-02 02:44:13,1,0,0,0
5338,2024-11-02 02:47:21,1,0,0,0
5339,2024-11-02 02:47:47,1,0,0,0
5340,2024-11-02 02:47:58,1,0,0,0
5341,2024-11-02 02:48:21,1,0,0,0
5342,2024-11-02 02:48:37,1,0,0,0
5343,2024-11-02 02:49:14,1,0,0,0
5344,2024-11-02 02:49:37,1,0,0,0
5345,2024-11-02 02:49:56,1,0,0,0
5346,2024-11-02 02:50:53,1,0,0,0
5347,2024-11-02 02:51:02,1,0,0,0
5348,2024-11-02 02:51:37,1,0,0,0
5349,2024-11-02 02:52:06,1,0,0,0
5350,2024-11-02 02:54:25,1,0,0,0
5351,2024-11-02 02:56:32,1,0,0,0
5352,2024-11-02 02:56:50,1,0,0,0
5353,2024-11-02 02:57:07,1,0,0,0
5354,2024-11-02 03:00:50,1,0,0,0
5355,2024-11-02 03:01:05,1,0,0,0
5356,2024-11-02 03:01:44,1,0,0,0
5357,2024-11-02 03:01:48,1,0,0,0
5358,2024-11-02 03:07:56,1,0,0,0
5359,2024-11-02 03:09:17,1,0,0,0
5360,2024-11-02 03:09:42,1,0,0,0
5361,2024-11-02 03:09:54,1,0,0,0
5362,2024-11-02 03:10:46,1,0,0,0
5363,2024-11-02 03:11:00,1,0,0,0
5364,2024-11-02 03:11:09,1,0,0,0
5365,2024-11-02 03:11:34,1,0,0,0
5366,2024-11-02 03:11:59,1,0,0,0
5367,2024-11-02 03:12:09,1,0,0,0
5368,2024-11-02 03:12:17,1,0,0,0
5369,2024-11-02 03:13:10,1,0,0,0
5370,2024-11-02 03:13:21,1,0,0,0
5371,2024-11-02 03:13:28,1,0,0,0
5372,2024-11-02 03:13:46,1,0,0,0
5373,2024-11-02 03:14:47,1,0,0,0
5374,2024-11-02 03:14:54,1,0,0,0
5375,2024-11-02 03:15:12,1,0,0,0
5376,2024-11-02 03:15:32,1,0,0,0
5377,2024-11-02 03:15:52,1,0,0,0
5378,2024-11-02 03:16:13,1,0,0,0
5379,2024-11-02 03:16:24,1,0,0,0
5380,2024-11-02 03:16:31,1,0,0,0
5381,2024-11-02 03:16:36,1,0,0,0
5382,2024-11-02 03:16:42,1,0,0,0
5383,2024-11-02 03:17:11,1,0,0,0
5384,2024-11-02 03:17:22,1,0,0,0
5385,2024-11-02 03:17:39,1,0,0,0
5386,2024-11-02 03:17:43,1,0,0,0
5387,2024-11-02 03:17:48,1,0,0,0
5388,2024-11-02 03:18:27,1,0,0,0
5389,2024-11-02 03:20:06,1,0,0,0
5390,2024-11-02 03:20:11,1,0,0,0
5391,2024-11-02 03:20:28,1,0,0,0
5392,2024-11-02 03:22:00,1,0,0,0
5393,2024-11-02 03:22:18,1,0,0,0
5394,2024-11-02 03:22:33,1,0,0,0
5395,2024-11-02 03:23:42,1,0,0,0
5396,2024-11-02 03:23:57,1,0,0,0
5397,2024-11-02 03:24:01,1,0,0,0
5398,2024-11-02 03:24:36,1,0,0,0
5399,2024-11-02 03:25:12,1,0,0,0
5400,2024-11-02 03:25:22,1,0,0,0
5401,2024-11-02 03:25:49,1,0,0,0
5402,2024-11-02 03:25:56,1,0,0,0
5403,2024-11-02 03:26:08,1,0,0,0
5404,2024-11-02 03:26:34,1,0,0,0
5405,2024-11-02 03:26:43,1,0,0,0
5406,2024-11-02 03:26:47,1,0,0,0
5407,2024-11-02 03:27:02,1,0,0,0
5408,2024-11-02 03:27:25,1,0,0,0
5409,2024-11-02 03:27:49,1,0,0,0
5410,2024-11-02 03:28:14,1,0,0,0
5411,2024-11-02 03:28:45,1,0,0,0
5412,2024-11-02 03:29:06,1,0,0,0
5413,2024-11-02 03:30:39,1,0,0,0
5414,2024-11-02 03:31:07,1,0,0,0
5415,2024-11-02 03:32:11,1,0,0,0
5416,2024-11-02 03:32:21,1,0,0,0
5417,2024-11-02 03:32:40,1,0,0,0
5418,2024-11-02 03:32:48,1,0,0,0
5419,2024-11-02 03:32:58,1,0,0,0
5420,2024-11-02 03:33:05,1,0,0,0
5421,2024-11-02 03:33:29,1,0,0,0
5422,2024-11-02 03:36:00,1,0,0,0
5423,2024-11-02 03:36:16,1,0,0,0
5424,2024-11-02 03:36:42,1,0,0,0
5425,2024-11-02 03:36:50,1,0,0,0
5426,2024-11-02 03:37:03,1,0,0,0
5427,2024-11-02 03:37:18,1,0,0,0
5428,2024-11-02 03:37:42,1,0,0,0
5429,2024-11-02 03:37:48,1,0,0,0
